Source,Target,Type,Id,Label,Weight
CHEK2,ADCY6,Undirected,91970,,1
CHEK2,ISX,Undirected,91973,,1
CHEK2,TNKS,Undirected,91974,,1
CHEK2,SSH3,Undirected,91975,,1
CHEK2,TNS3,Undirected,91976,,1
CHEK2,TRIB1,Undirected,91977,,1
CHEK2,PPM1E,Undirected,91978,,1
CHEK2,CFLAR,Undirected,91979,,1
CHEK2,HP1BP3,Undirected,91980,,1
CHEK2,CASP2,Undirected,91981,,1
CHEK2,NFKBIB,Undirected,91984,,1
CHEK2,HNRNPD,Undirected,91988,,1
CHEK2,PRKDC,Undirected,91990,,1
CHEK2,SSNA1,Undirected,91992,,1
CHEK2,ASB3,Undirected,91993,,1
CHEK2,CLPTM1L,Undirected,91997,,1
CHEK2,SENP3,Undirected,92000,,1
CHEK2,PAK2,Undirected,92001,,1
CHEK2,GAK,Undirected,92006,,1
CHEK2,UACA,Undirected,92008,,1
CHEK2,RPRM,Undirected,92010,,1
CHEK2,ALX1,Undirected,92011,,1
CHEK2,DIS3L2,Undirected,92012,,1
CHEK2,SSH1,Undirected,92015,,1
CHEK2,HNRNPA0,Undirected,92017,,1
CHEK2,RUVBL1,Undirected,92025,,1
CHEK2,INTS3,Undirected,92027,,1
CHEK2,BID,Undirected,92028,,1
CHEK2,OR2A4,Undirected,92032,,1
CHEK2,TENC1,Undirected,92034,,1
CHEK2,PKM,Undirected,92038,,1
CHEK2,ARID1A,Undirected,92039,,1
CHEK2,KIAA1875,Undirected,92040,,1
CHEK2,EML4,Undirected,92041,,1
CHEK2,KIF1C,Undirected,92042,,1
CHEK2,ASB8,Undirected,92043,,1
CHEK2,RCHY1,Undirected,92045,,1
CHEK2,TTLL11,Undirected,92046,,1
CHEK2,ASB4,Undirected,92047,,1
CHEK2,CDC25C,Undirected,92048,,1
CHEK2,ANKRD23,Undirected,92049,,1
CHEK2,ING5,Undirected,92052,,1
CHEK2,POLE,Undirected,92057,,1
CHEK2,ARL4D,Undirected,92058,,1
CHEK2,RAI1,Undirected,92059,,1
CHEK2,ARL14,Undirected,92069,,1
CHEK2,PRKAG1,Undirected,92070,,1
CHEK2,KIF15,Undirected,92071,,1
CHEK2,CSNK1D,Undirected,92075,,1
CHEK2,SEPT1,Undirected,92076,,1
CHEK2,MYO1D,Undirected,92077,,1
CHEK2,NFATC2IP,Undirected,92079,,1
CHEK2,PPP2R1A,Undirected,92080,,1
CHEK2,GSK3B,Undirected,92081,,1
CHEK2,STK11,Undirected,92082,,1
CHEK2,PPP2R2A,Undirected,92085,,1
CHEK2,CASKIN2,Undirected,92089,,1
CHEK2,CARM1,Undirected,92092,,1
CHEK2,STK25,Undirected,92093,,1
CHEK2,MRE11A,Undirected,92094,,1
CHEK2,ANKDD1A,Undirected,92095,,1
CHEK2,PPP1CA,Undirected,92096,,1
CHEK2,EFCAB11,Undirected,92099,,1
CHEK2,TACC3,Undirected,92100,,1
CHEK2,KDM3B,Undirected,92101,,1
CHEK2,PEG3,Undirected,92102,,1
CHEK2,ZFPM1,Undirected,92103,,1
CHEK2,CUL1,Undirected,92104,,1
CHEK2,NT5DC1,Undirected,92105,,1
CHEK2,CLIP4,Undirected,92106,,1
CHEK2,LMNB2,Undirected,92108,,1
CHEK2,PPM1A,Undirected,92109,,1
CHEK2,APOBEC3B,Undirected,92110,,1
CHEK2,ASB7,Undirected,92117,,1
CHEK2,FOXK1,Undirected,92120,,1
CHEK2,KANK3,Undirected,92122,,1
CHEK2,SIRT7,Undirected,92126,,1
CHEK2,PIWIL3,Undirected,92128,,1
CHEK2,HIST1H1B,Undirected,92129,,1
CHEK2,NDNL2,Undirected,92133,,1
CHEK2,FANCF,Undirected,92134,,1
CHEK2,PPP1R27,Undirected,92136,,1
CHEK2,MXI1,Undirected,92138,,1
CHEK2,HGS,Undirected,92139,,1
CHEK2,ARMCX2,Undirected,92143,,1
CHEK2,PRMT3,Undirected,92145,,1
CHEK2,HIST2H2AC,Undirected,92148,,1
CHEK2,RFX6,Undirected,92149,,1
CHEK2,PTCH1,Undirected,92150,,1
CHEK2,ALX4,Undirected,92153,,1
CHEK2,FOXL2,Undirected,92159,,1
CHEK2,TUBA8,Undirected,92162,,1
CHEK2,MAPK11,Undirected,92165,,1
CHEK2,DUSP18,Undirected,92166,,1
CHEK2,HDAC6,Undirected,92168,,1
CHEK2,KLHDC10,Undirected,92169,,1
CHEK2,GATA4,Undirected,92172,,1
CHEK2,ERCC6L,Undirected,92173,,1
CHEK2,RAX,Undirected,92174,,1
CHEK2,ARID2,Undirected,92176,,1
CHEK2,EMID1,Undirected,92181,,1
CHEK2,RAD54B,Undirected,92184,,1
CHEK2,CBX3,Undirected,92185,,1
CHEK2,RAD51C,Undirected,92186,,1
CHEK2,CENPA,Undirected,92190,,1
CHEK2,HORMAD2,Undirected,92191,,1
CHEK2,NME1,Undirected,92192,,1
CHEK2,MEN1,Undirected,92193,,1
CHEK2,ARL17A,Undirected,92198,,1
CHEK2,PPP2R5E,Undirected,92199,,1
CHEK2,MAPK15,Undirected,92200,,1
CHEK2,ARL6,Undirected,92201,,1
CHEK2,PIDD1,Undirected,92202,,1
CHEK2,PUM2,Undirected,92205,,1
CHEK2,LMO1,Undirected,92206,,1
CHEK2,UBA1,Undirected,92209,,1
CHEK2,SLC6A16,Undirected,92210,,1
CHEK2,CDK10,Undirected,92211,,1
CHEK2,FOXG1,Undirected,92213,,1
CHEK2,ANAPC1,Undirected,92214,,1
CHEK2,ESPNL,Undirected,92215,,1
CHEK2,TSSK4,Undirected,92216,,1
CHEK2,BRAT1,Undirected,92219,,1
CHEK2,ARL4C,Undirected,92220,,1
CHEK2,MYB,Undirected,92222,,1
CHEK2,DUPD1,Undirected,92226,,1
CHEK2,HUWE1,Undirected,92228,,1
CHEK2,ELSPBP1,Undirected,92229,,1
CHEK2,EIF4EBP1,Undirected,92230,,1
CHEK2,MAPT,Undirected,92231,,1
CHEK2,ASH2L,Undirected,92232,,1
CHEK2,PTPN11,Undirected,92233,,1
CHEK2,CNBD2,Undirected,92234,,1
CHEK2,SFN,Undirected,92235,,1
CHEK2,NANOS2,Undirected,92236,,1
CHEK2,STAT5A,Undirected,92239,,1
CHEK2,CECR2,Undirected,92241,,1
CHEK2,TRADD,Undirected,92242,,1
CHEK2,JARID2,Undirected,92243,,1
CHEK2,SEPT6,Undirected,92244,,1
CHEK2,THYN1,Undirected,92246,,1
